ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q9ULY5	C-type lectin domain family 4 member E(CLEC4E)	Homo sapiens				GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002292~T cell differentiation involved in immune response,GO:0038094~Fc-gamma receptor signaling pathway,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050715~positive regulation of cytokine secretion,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004872~receptor activity,GO:0030246~carbohydrate binding,	IPR001304:C-type lectin,IPR016186:C-type lectin-like,IPR016187:C-type lectin fold,	hsa05152:Tuberculosis,			SM00034:CLECT,	3D-structure,Complete proteome,Disulfide bond,Glycoprotein,Immunity,Lectin,Membrane,Proteomics identification,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,	chain:C-type lectin domain family 4 member E,disulfide bond,domain:C-type lectin,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q05826	CCAAT/enhancer binding protein (C/EBP), beta(CEBPB)	Gallus gallus				GO:0001541~ovarian follicle development,GO:0002432~granuloma formation,GO:0006366~transcription from RNA polymerase II promoter,GO:0010628~positive regulation of gene expression,GO:0030182~neuron differentiation,GO:0032496~response to lipopolysaccharide,GO:0032753~positive regulation of interleukin-4 production,GO:0035711~T-helper 1 cell activation,GO:0042130~negative regulation of T cell proliferation,GO:0042742~defense response to bacterium,GO:0043524~negative regulation of neuron apoptotic process,GO:0045408~regulation of interleukin-6 biosynthetic process,GO:0045444~fat cell differentiation,GO:0045600~positive regulation of fat cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045670~regulation of osteoclast differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0050873~brown fat cell differentiation,GO:0060850~regulation of transcription involved in cell fate commitment,GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,GO:0071230~cellular response to amino acid stimulus,GO:0072574~hepatocyte proliferation,GO:0097421~liver regeneration,GO:1990440~positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,GO:2000144~positive regulation of DNA-templated transcription, initiation,GO:2000617~positive regulation of histone H3-K9 acetylation,	GO:0000779~condensed chromosome, centromeric region,GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016363~nuclear matrix,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000979~RNA polymerase II core promoter sequence-specific DNA binding,GO:0001046~core promoter sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001158~enhancer sequence-specific DNA binding,GO:0003682~chromatin binding,GO:0003705~transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding,GO:0019900~kinase binding,GO:0035035~histone acetyltransferase binding,GO:0042803~protein homodimerization activity,GO:0042826~histone deacetylase binding,GO:0044389~ubiquitin-like protein ligase binding,GO:0046982~protein heterodimerization activity,	IPR004827:Basic-leucine zipper domain,IPR016468:CCAAT/enhancer-binding,			PIRSF005879:CCAAT/enhancer-binding protein,	SM00338:BRLZ,	Activator,Complete proteome,DNA-binding,Methylation,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:CCAAT/enhancer-binding protein beta,DNA-binding region:Basic motif,domain:Leucine-zipper,
Q9JLQ0	CD2-associated protein(Cd2ap)	Mus musculus				GO:0007049~cell cycle,GO:0007067~mitotic nuclear division,GO:0016050~vesicle organization,GO:0016337~single organismal cell-cell adhesion,GO:0016477~cell migration,GO:0032911~negative regulation of transforming growth factor beta1 production,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0048259~regulation of receptor-mediated endocytosis,GO:0051301~cell division,GO:1900182~positive regulation of protein localization to nucleus,GO:2000249~regulation of actin cytoskeleton reorganization,	GO:0001726~ruffle,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0005913~cell-cell adherens junction,GO:0005938~cell cortex,GO:0030139~endocytic vesicle,GO:0031252~cell leading edge,GO:0031941~filamentous actin,GO:0042995~cell projection,GO:0043234~protein complex,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0005172~vascular endothelial growth factor receptor binding,GO:0005515~protein binding,GO:0008013~beta-catenin binding,GO:0008022~protein C-terminus binding,GO:0017124~SH3 domain binding,GO:0032403~protein complex binding,GO:0045296~cadherin binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR001452:Src homology-3 domain,	mmu05100:Bacterial invasion of epithelial cells,			SM00326:SH3,	3D-structure,Cell cycle,Cell division,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Isopeptide bond,Mitosis,Phosphoprotein,Reference proteome,Repeat,SH3 domain,SH3-binding,Ubl conjugation,	chain:CD2-associated protein,compositionally biased region:Pro-rich,domain:SH3 1; truncated,domain:SH3 2,domain:SH3 3,helix,modified residue,region of interest:Interaction with ANLN and localization to the midbody,sequence conflict,short sequence motif:SH3-binding,strand,
F1LRS8	CD2-associated protein(Cd2ap)	Rattus norvegicus				GO:0007067~mitotic nuclear division,GO:0016050~vesicle organization,GO:0016337~single organismal cell-cell adhesion,GO:0016477~cell migration,GO:0032911~negative regulation of transforming growth factor beta1 production,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0048259~regulation of receptor-mediated endocytosis,GO:0051301~cell division,GO:1900182~positive regulation of protein localization to nucleus,GO:2000249~regulation of actin cytoskeleton reorganization,	GO:0001726~ruffle,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0030139~endocytic vesicle,GO:0031252~cell leading edge,GO:0031941~filamentous actin,GO:0043234~protein complex,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0005172~vascular endothelial growth factor receptor binding,GO:0005515~protein binding,GO:0008013~beta-catenin binding,GO:0008022~protein C-terminus binding,GO:0017124~SH3 domain binding,GO:0032403~protein complex binding,GO:0045296~cadherin binding,	IPR001452:Src homology-3 domain,	rno05100:Bacterial invasion of epithelial cells,			SM00326:SH3,	Cell cycle,Cell division,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Isopeptide bond,Mitosis,Phosphoprotein,Reference proteome,Repeat,SH3 domain,SH3-binding,Ubl conjugation,
Q91ZX1	CD209a antigen(Cd209a)	Mus musculus				GO:0006897~endocytosis,GO:0010468~regulation of gene expression,GO:0030193~regulation of blood coagulation,GO:0042129~regulation of T cell proliferation,	GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0001618~virus receptor activity,GO:0005537~mannose binding,GO:0030246~carbohydrate binding,GO:0046872~metal ion binding,GO:0048306~calcium-dependent protein binding,GO:0097367~carbohydrate derivative binding,	IPR001304:C-type lectin,IPR016186:C-type lectin-like,IPR016187:C-type lectin fold,IPR018378:C-type lectin, conserved site,	mmu04145:Phagosome,mmu05152:Tuberculosis,mmu05162:Measles,			SM00034:CLECT,	Alternative splicing,Calcium,Complete proteome,Disulfide bond,Endocytosis,Glycoprotein,Lectin,Mannose-binding,Membrane,Metal-binding,Receptor,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,	chain:CD209 antigen-like protein A,disulfide bond,domain:C-type lectin,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Calcium,metal ion-binding site:Calcium; via carbonyl oxygen,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q9EP73	CD274 antigen(Cd274)	Mus musculus				GO:0006955~immune response,GO:0007165~signal transduction,GO:0007166~cell surface receptor signaling pathway,GO:0030335~positive regulation of cell migration,GO:0031295~T cell costimulation,GO:0032689~negative regulation of interferon-gamma production,GO:0032693~negative regulation of interleukin-10 production,GO:0034097~response to cytokine,GO:0042102~positive regulation of T cell proliferation,GO:0042130~negative regulation of T cell proliferation,GO:0046007~negative regulation of activated T cell proliferation,GO:1901998~toxin transport,GO:1903556~negative regulation of tumor necrosis factor superfamily cytokine production,GO:2001181~positive regulation of interleukin-10 secretion,	GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0005515~protein binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013162:CD80-like, immunoglobulin C2-set,IPR013783:Immunoglobulin-like fold,	mmu04514:Cell adhesion molecules (CAMs),			SM00409:IG,	Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,Immunoglobulin domain,Membrane,Proteomics identification,Receptor,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Programmed cell death 1 ligand 1,disulfide bond,domain:Ig-like C2-type,domain:Ig-like V-type,glycosylation site:N-linked (GlcNAc...),mutagenesis site,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q28072	CD3d molecule(CD3D)	Bos taurus				GO:0007166~cell surface receptor signaling pathway,GO:0045059~positive thymic T cell selection,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0016021~integral component of membrane,GO:0042105~alpha-beta T cell receptor complex,	GO:0003713~transcription coactivator activity,GO:0004888~transmembrane signaling receptor activity,GO:0046982~protein heterodimerization activity,	IPR003110:Phosphorylated immunoreceptor signaling ITAM,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,IPR015484:CD3 protein, gamma/delta subunit,IPR015485:CD3 signaling complex delta subunit,	bta04640:Hematopoietic cell lineage,bta04660:T cell receptor signaling pathway,bta05142:Chagas disease (American trypanosomiasis),bta05162:Measles,bta05166:HTLV-I infection,bta05340:Primary immunodeficiency,			SM00077:ITAM,	Complete proteome,Disulfide bond,Glycoprotein,Membrane,Phosphoprotein,Receptor,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:T-cell surface glycoprotein CD3 delta chain,disulfide bond,domain:ITAM,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q3LRP1	CD40 molecule(CD40)	Callithrix jacchus				GO:0002376~immune system process,GO:0002768~immune response-regulating cell surface receptor signaling pathway,GO:0006874~cellular calcium ion homeostasis,GO:0030890~positive regulation of B cell proliferation,GO:0032735~positive regulation of interleukin-12 production,GO:0042113~B cell activation,GO:0042511~positive regulation of tyrosine phosphorylation of Stat1 protein,GO:0042832~defense response to protozoan,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043406~positive regulation of MAP kinase activity,GO:0043491~protein kinase B signaling,GO:0043547~positive regulation of GTPase activity,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048304~positive regulation of isotype switching to IgG isotypes,GO:0051023~regulation of immunoglobulin secretion,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051607~defense response to virus,GO:0071260~cellular response to mechanical stimulus,GO:0090037~positive regulation of protein kinase C signaling,GO:2000353~positive regulation of endothelial cell apoptotic process,	GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0035631~CD40 receptor complex,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,		IPR001368:TNFR/NGFR cysteine-rich region,IPR020435:Tumour necrosis factor receptor 5,	cjc04060:Cytokine-cytokine receptor interaction,cjc04064:NF-kappa B signaling pathway,cjc04514:Cell adhesion molecules (CAMs),cjc04620:Toll-like receptor signaling pathway,cjc04672:Intestinal immune network for IgA production,cjc05144:Malaria,cjc05145:Toxoplasmosis,cjc05166:HTLV-I infection,cjc05169:Epstein-Barr virus infection,cjc05202:Transcriptional misregulation in cancer,cjc05310:Asthma,cjc05320:Autoimmune thyroid disease,cjc05322:Systemic lupus erythematosus,cjc05330:Allograft rejection,cjc05340:Primary immunodeficiency,cjc05416:Viral myocarditis,			SM00208:TNFR,	Complete proteome,Disulfide bond,Glycoprotein,Immunity,Membrane,Receptor,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,
P19397	CD53 molecule(CD53)	Homo sapiens				GO:0007165~signal transduction,GO:0007166~cell surface receptor signaling pathway,GO:1901741~positive regulation of myoblast fusion,	GO:0001772~immunological synapse,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0005515~protein binding,	IPR000301:Tetraspanin,IPR008952:Tetraspanin, EC2 domain,IPR018499:Tetraspanin/Peripherin,IPR018503:Tetraspanin, conserved site,			PIRSF002419:tetraspanin,		Cell junction,Cell membrane,Complete proteome,Glycoprotein,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	chain:Leukocyte surface antigen CD53,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
P08174	CD55 molecule (Cromer blood group)(CD55)	Homo sapiens				GO:0006888~ER to Golgi vesicle-mediated transport,GO:0006958~complement activation, classical pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007283~spermatogenesis,GO:0030449~regulation of complement activation,GO:0031664~regulation of lipopolysaccharide-mediated signaling pathway,GO:0035743~CD4-positive, alpha-beta T cell cytokine production,GO:0043434~response to peptide hormone,GO:0045087~innate immune response,GO:0045730~respiratory burst,GO:0045916~negative regulation of complement activation,GO:0046718~viral entry into host cell,GO:0060137~maternal process involved in parturition,GO:2000516~positive regulation of CD4-positive, alpha-beta T cell activation,GO:2000563~positive regulation of CD4-positive, alpha-beta T cell proliferation,	GO:0000139~Golgi membrane,GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016324~apical plasma membrane,GO:0030133~transport vesicle,GO:0031225~anchored component of membrane,GO:0033116~endoplasmic reticulum-Golgi intermediate compartment membrane,GO:0045121~membrane raft,GO:0070062~extracellular exosome,	GO:0001618~virus receptor activity,GO:0004857~enzyme inhibitor activity,GO:0005515~protein binding,GO:0008289~lipid binding,	IPR000436:Sushi/SCR/CCP,	hsa04610:Complement and coagulation cascades,hsa04640:Hematopoietic cell lineage,hsa05416:Viral myocarditis,	613793~Blood group Cromer,		SM00032:CCP,	3D-structure,Alternative splicing,Blood group antigen,Cell membrane,Complement pathway,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,GPI-anchor,Host cell receptor for virus entry,Host-virus interaction,Immunity,Innate immunity,Lipoprotein,Membrane,Polymorphism,Proteomics identification,Receptor,Reference proteome,Repeat,Secreted,Signal,Sushi,	chain:Complement decay-accelerating factor,compositionally biased region:Ser/Thr-rich,disulfide bond,domain:Sushi 1,domain:Sushi 2,domain:Sushi 3,domain:Sushi 4,glycosylation site:N-linked (GlcNAc...),helix,lipid moiety-binding region:GPI-anchor amidated serine,modified residue,propeptide:Removed in mature form,sequence conflict,sequence variant,signal peptide,splice variant,strand,turn,
Q76B49	CD63 molecule(CD63)	Felis catus				GO:0002092~positive regulation of receptor internalization,GO:0007155~cell adhesion,GO:0007160~cell-matrix adhesion,GO:0007166~cell surface receptor signaling pathway,GO:0015031~protein transport,GO:0016477~cell migration,GO:0034613~cellular protein localization,GO:0035646~endosome to melanosome transport,GO:0045807~positive regulation of endocytosis,GO:0048757~pigment granule maturation,GO:1900746~regulation of vascular endothelial growth factor signaling pathway,GO:2000680~regulation of rubidium ion transport,GO:2001046~positive regulation of integrin-mediated signaling pathway,	GO:0005615~extracellular space,GO:0005765~lysosomal membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0012505~endomembrane system,GO:0016021~integral component of membrane,GO:0031226~intrinsic component of plasma membrane,GO:0031902~late endosome membrane,GO:0031904~endosome lumen,GO:0042470~melanosome,GO:0070062~extracellular exosome,GO:0097487~multivesicular body, internal vesicle,		IPR000301:Tetraspanin,IPR008952:Tetraspanin, EC2 domain,IPR018499:Tetraspanin/Peripherin,IPR018503:Tetraspanin, conserved site,	fca04142:Lysosome,fca05205:Proteoglycans in cancer,		PIRSF002419:tetraspanin,		Cell membrane,Complete proteome,Endosome,Glycoprotein,Lipoprotein,Lysosome,Membrane,Palmitate,Protein transport,Reference proteome,Secreted,Transmembrane,Transmembrane helix,Transport,	chain:CD63 antigen,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
P04233	CD74 molecule(CD74)	Homo sapiens		h_mhcPathway:Antigen Processing and Presentation,		GO:0000187~activation of MAPK activity,GO:0001516~prostaglandin biosynthetic process,GO:0001961~positive regulation of cytokine-mediated signaling pathway,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0002792~negative regulation of peptide secretion,GO:0002830~positive regulation of type 2 immune response,GO:0002906~negative regulation of mature B cell apoptotic process,GO:0006461~protein complex assembly,GO:0006886~intracellular protein transport,GO:0006952~defense response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0008283~cell proliferation,GO:0016064~immunoglobulin mediated immune response,GO:0019882~antigen processing and presentation,GO:0019883~antigen processing and presentation of endogenous antigen,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0030890~positive regulation of B cell proliferation,GO:0035691~macrophage migration inhibitory factor signaling pathway,GO:0043030~regulation of macrophage activation,GO:0043066~negative regulation of apoptotic process,GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator,GO:0045058~T cell selection,GO:0045059~positive thymic T cell selection,GO:0045060~negative thymic T cell selection,GO:0045581~negative regulation of T cell differentiation,GO:0045582~positive regulation of T cell differentiation,GO:0048146~positive regulation of fibroblast proliferation,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050900~leukocyte migration,GO:0051085~chaperone mediated protein folding requiring cofactor,GO:0060907~positive regulation of macrophage cytokine production,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0090023~positive regulation of neutrophil chemotaxis,GO:1902166~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:2000343~positive regulation of chemokine (C-X-C motif) ligand 2 production,	GO:0000139~Golgi membrane,GO:0005622~intracellular,GO:0005765~lysosomal membrane,GO:0005771~multivesicular body,GO:0005773~vacuole,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0012507~ER to Golgi transport vesicle membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030658~transport vesicle membrane,GO:0030666~endocytic vesicle membrane,GO:0030669~clathrin-coated endocytic vesicle membrane,GO:0032588~trans-Golgi network membrane,GO:0035692~macrophage migration inhibitory factor receptor complex,GO:0035693~NOS2-CD74 complex,GO:0042613~MHC class II protein complex,GO:0043202~lysosomal lumen,GO:0070062~extracellular exosome,GO:0071556~integral component of lumenal side of endoplasmic reticulum membrane,	GO:0001540~beta-amyloid binding,GO:0004896~cytokine receptor activity,GO:0019955~cytokine binding,GO:0023026~MHC class II protein complex binding,GO:0035718~macrophage migration inhibitory factor binding,GO:0042289~MHC class II protein binding,GO:0042658~MHC class II protein binding, via antigen binding groove,GO:0042802~identical protein binding,GO:0044183~protein binding involved in protein folding,GO:0050998~nitric-oxide synthase binding,	IPR000716:Thyroglobulin type-1,IPR011988:MHC class II-associated invariant chain, trimerisation,IPR015386:MHC class II-associated invariant chain/CLIP, MHC II-interacting,IPR022339:MHC class II-associated invariant chain,	hsa04612:Antigen processing and presentation,hsa05152:Tuberculosis,hsa05168:Herpes simplex infection,		PIRSF001992:HLA class II histocompatibility antigen, gamma subunit,	SM00211:TY,	3D-structure,Adaptive immunity,Alternative splicing,Cell membrane,Chaperone,Complete proteome,Direct protein sequencing,Disulfide bond,Endoplasmic reticulum,Endosome,Glycoprotein,Golgi apparatus,Immunity,Lysosome,Membrane,Phosphoprotein,Proteoglycan,Proteomics identification,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,	chain:HLA class II histocompatibility antigen gamma chain,disulfide bond,domain:Thyroglobulin type-1,glycosylation site:N-linked (GlcNAc...),glycosylation site:O-linked (Xyl...) (glycosaminoglycan),helix,modified residue,region of interest:CLIP,sequence conflict,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
P40259	CD79b molecule(CD79B)	Homo sapiens		h_bcrmolecule:B Cell Receptor Complex,h_bcrPathway:BCR Signaling Pathway,h_ctcfPathway:CTCF: First Multivalent Nuclear Factor,		GO:0002250~adaptive immune response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0030183~B cell differentiation,GO:0050853~B cell receptor signaling pathway,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009897~external side of plasma membrane,GO:0019815~B cell receptor complex,GO:0070062~extracellular exosome,	GO:0004888~transmembrane signaling receptor activity,	IPR003110:Phosphorylated immunoreceptor signaling ITAM,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,	hsa04662:B cell receptor signaling pathway,	612692~Agammaglobulinemia 6,		SM00077:ITAM,SM00409:IG,	3D-structure,Adaptive immunity,Alternative splicing,Cell membrane,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Immunity,Immunoglobulin domain,Membrane,Phosphoprotein,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:B-cell antigen receptor complex- associated protein beta chain,disulfide bond,domain:Ig-like V-type,domain:ITAM,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
Q01151	CD83 molecule(CD83)	Homo sapiens				GO:0001817~regulation of cytokine production,GO:0006952~defense response,GO:0006959~humoral immune response,GO:0007165~signal transduction,GO:0014070~response to organic cyclic compound,GO:0032713~negative regulation of interleukin-4 production,GO:0032733~positive regulation of interleukin-10 production,GO:0032743~positive regulation of interleukin-2 production,GO:0043372~positive regulation of CD4-positive, alpha-beta T cell differentiation,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,		IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,				SM00409:IG,	Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Immunoglobulin domain,Membrane,Polymorphism,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:CD83 antigen,disulfide bond,domain:Ig-like V-type,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
P39823	CDP-diacylglycerol--serine O-phosphatidyltransferase(pssA)	Bacillus subtilis subsp. subtilis str. 168				GO:0008654~phospholipid biosynthetic process,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0003882~CDP-diacylglycerol-serine O-phosphatidyltransferase activity,	IPR000462:CDP-alcohol phosphatidyltransferase,IPR004533:CDP-diacylglycerol--serine O-phosphatidyltransferase,	bsu00260:Glycine, serine and threonine metabolism,bsu00564:Glycerophospholipid metabolism,bsu01100:Metabolic pathways,bsu01110:Biosynthesis of secondary metabolites,				Cell membrane,Complete proteome,Lipid biosynthesis,Lipid metabolism,Membrane,Phospholipid biosynthesis,Phospholipid metabolism,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	chain:CDP-diacylglycerol--serine O- phosphatidyltransferase,transmembrane region,
Q9W138	CG3570 gene product from transcript CG3570-RA(CG3570)	Drosophila melanogaster						GO:0016433~rRNA (adenine) methyltransferase activity,	IPR021867:Protein of unknown function DUF3321,					Complete proteome,Methyltransferase,Reference proteome,S-adenosyl-L-methionine,Transferase,	chain:UPF0532 protein CG3570,
P26374	CHM like, Rab escort protein 2(CHML)	Homo sapiens				GO:0006886~intracellular protein transport,GO:0007264~small GTPase mediated signal transduction,GO:0018344~protein geranylgeranylation,GO:0043547~positive regulation of GTPase activity,GO:0055114~oxidation-reduction process,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005968~Rab-protein geranylgeranyltransferase complex,	GO:0005092~GDP-dissociation inhibitor activity,GO:0005096~GTPase activator activity,GO:0016491~oxidoreductase activity,GO:0017137~Rab GTPase binding,	IPR001738:Rab escort (choroideraemia) protein,IPR018203:GDP dissociation inhibitor,IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,			PIRSF016550:Rab protein geranylgeranyltransferase, component A, eukaryotic type,		Complete proteome,Cytoplasm,GTPase activation,Phosphoprotein,Reference proteome,	chain:Rab proteins geranylgeranyltransferase component A 2,modified residue,sequence conflict,
Q96FZ5	CKLF like MARVEL transmembrane domain containing 7(CMTM7)	Homo sapiens				GO:0002337~B-1a B cell differentiation,GO:0006935~chemotaxis,	GO:0005615~extracellular space,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005125~cytokine activity,	IPR008253:Marvel,					Alternative splicing,Chemotaxis,Complete proteome,Cytokine,Membrane,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:CKLF-like MARVEL transmembrane domain- containing protein 7,domain:MARVEL,transmembrane region,
Q96KP4	CNDP dipeptidase 2 (metallopeptidase M20 family)(CNDP2)	Homo sapiens			Amino acid transport and metabolism,	GO:0000096~sulfur amino acid metabolic process,GO:0006508~proteolysis,GO:0006750~glutathione biosynthetic process,GO:0008152~metabolic process,GO:0043171~peptide catabolic process,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0004180~carboxypeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0016787~hydrolase activity,GO:0034701~tripeptidase activity,GO:0070573~metallodipeptidase activity,GO:0102008~cytosolic dipeptidase activity,	IPR001261:ArgE/DapE/ACY1/CPG2/YscS, conserved site,IPR002933:Peptidase M20,IPR011650:Peptidase M20, dimerisation domain,IPR017153:Glutathione degradosome, DUG1,	hsa00330:Arginine and proline metabolism,hsa00340:Histidine metabolism,hsa00410:beta-Alanine metabolism,hsa01100:Metabolic pathways,		PIRSF037242:CNDP dipeptidase,		3D-structure,Acetylation,Alternative splicing,Carboxypeptidase,Complete proteome,Cytoplasm,Direct protein sequencing,Hydrolase,Manganese,Metal-binding,Metalloprotease,Phosphoprotein,Polymorphism,Protease,Proteomics identification,Reference proteome,	active site:Proton acceptor,binding site:Substrate,binding site:Substrate; shared with homodimeric partner,binding site:Substrate; via amide nitrogen and carbonyl oxygen,binding site:Substrate; via carbonyl oxygen,chain:Cytosolic non-specific dipeptidase,metal ion-binding site:Manganese 1,metal ion-binding site:Manganese 2,modified residue,region of interest:Substrate binding,sequence conflict,sequence variant,site:Important for catalytic activity,splice variant,
